Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login_SubmitPoolingOrder_Logout,,"Sehati Mobile Automation Test 
Login, Submit Pooling Order, dan Logout dari Aplikasi",,2023-08-30 11:44:41,2023-08-30 11:46:52,2m - 10.712s,PASSED
,,,,,,,
Test Cases/loginSehatiMobile(CMO),,,,2023-08-30 11:44:42,2023-08-30 11:45:35,52.863s,PASSED
"startExistingApplication(""id.pkp.sehati.uat"")",,,,2023-08-30 11:44:42,2023-08-30 11:45:04,21.144s,PASSED
"tap(findTestObject(""Object Repository/loginPage/android.widget.EditText - NPK""), 0)",,,,2023-08-30 11:45:04,2023-08-30 11:45:04,0.810s,PASSED
"sendKeys(findTestObject(""Object Repository/loginPage/android.widget.EditText - NPKMasukan NPK""), ""220885"")",,,,2023-08-30 11:45:04,2023-08-30 11:45:06,1.195s,PASSED
"tap(findTestObject(""Object Repository/loginPage/android.widget.EditText - Kata Sandi""), 0)",,,,2023-08-30 11:45:06,2023-08-30 11:45:06,0.756s,PASSED
"sendKeys(findTestObject(""Object Repository/loginPage/android.widget.EditText - Kata SandiMasukan Kata Sandi""), ""12345678"")",,,,2023-08-30 11:45:06,2023-08-30 11:45:07,1.075s,PASSED
"tap(findTestObject(""Object Repository/loginPage/android.widget.Button""), 0)",,,,2023-08-30 11:45:07,2023-08-30 11:45:09,1.166s,PASSED
"delay(25, STOP_ON_FAILURE)",,,,2023-08-30 11:45:09,2023-08-30 11:45:34,25.048s,PASSED
"tap(findTestObject(""Object Repository/loginPage/android.widget.ButtonOkSetelahLogin""), 15)",,,,2023-08-30 11:45:34,2023-08-30 11:45:35,1.052s,PASSED
,,,,,,,
Test Cases/poolingOrder/submitPoolingNEW,,Sehati Mobile Automated Test,,2023-08-30 11:45:35,2023-08-30 11:46:39,1m - 4.856s,PASSED
"tap(findTestObject(""homePage/buttonAcquisition""), 0)",,,,2023-08-30 11:45:35,2023-08-30 11:45:37,1.375s,PASSED
