Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
loginLogoutSehatiMobile,,Login dan Logout di aplikasi Sehati Mobile,,2023-08-28 10:41:28,2023-08-28 10:42:26,58.442s,PASSED
,,,,,,,
Test Cases/loginSehatiMobile(CMO),,,,2023-08-28 10:41:28,2023-08-28 10:42:21,52.742s,PASSED
"startExistingApplication(""id.pkp.sehati.uat"")",,,,2023-08-28 10:41:28,2023-08-28 10:41:49,20.938s,PASSED
"tap(findTestObject(""Object Repository/loginPage/android.widget.EditText - NPK""), 0)",,,,2023-08-28 10:41:49,2023-08-28 10:41:50,0.821s,PASSED
"sendKeys(findTestObject(""Object Repository/loginPage/android.widget.EditText - NPKMasukan NPK""), ""220885"")",,,,2023-08-28 10:41:50,2023-08-28 10:41:51,1.149s,PASSED
"tap(findTestObject(""Object Repository/loginPage/android.widget.EditText - Kata Sandi""), 0)",,,,2023-08-28 10:41:51,2023-08-28 10:41:52,0.760s,PASSED
"sendKeys(findTestObject(""Object Repository/loginPage/android.widget.EditText - Kata SandiMasukan Kata Sandi""), ""12345678"")",,,,2023-08-28 10:41:52,2023-08-28 10:41:53,0.754s,PASSED
"tap(findTestObject(""Object Repository/loginPage/android.widget.Button""), 0)",,,,2023-08-28 10:41:53,2023-08-28 10:41:55,1.668s,PASSED
"delay(25, STOP_ON_FAILURE)",,,,2023-08-28 10:41:55,2023-08-28 10:42:20,25.063s,PASSED
"tap(findTestObject(""Object Repository/loginPage/android.widget.ButtonOkSetelahLogin""), 15)",,,,2023-08-28 10:42:20,2023-08-28 10:42:21,1.105s,PASSED
,,,,,,,
Test Cases/logoutSehatiMobile,,,,2023-08-28 10:42:21,2023-08-28 10:42:26,5.367s,PASSED
"tap(findTestObject(""Object Repository/logoutPage/buttonProfile""), 0)",,,,2023-08-28 10:42:21,2023-08-28 10:42:22,1.115s,PASSED
"tap(findTestObject(""logoutPage/buttonLogout""), 0)",,,,2023-08-28 10:42:22,2023-08-28 10:42:24,1.653s,PASSED
"tap(findTestObject(""Object Repository/logoutPage/buttonKeluarLogout""), 0)",,,,2023-08-28 10:42:24,2023-08-28 10:42:25,1.631s,PASSED
closeApplication(),,,,2023-08-28 10:42:25,2023-08-28 10:42:26,0.696s,PASSED
